title,postingFrom,permalink,shortDescription,postingDate,mailToLink
need ride (la vergne to el paso),morgantown,http://morgantown.craigslist.org/rid/3413241619.html,me my two daughters and granddaughter need a ride near the el paso area from nashville tn. it would really help out if we could get a free ride but we are willing to pay. message back asap.,2012-11-16T02:15:28-05:00,emailnotfound
need ride (la vergne to el paso),morgantown,http://morgantown.craigslist.org/rid/3413235840.html,me my two daughters and granddaughter need a ride near the el paso area from nashville tn. it would really help out if we could get a free ride but we are willing to pay. message back asap.,2012-11-16T02:07:39-05:00,emailnotfound
morgantown to nyc dec 22/23 (morgantown or nearby),morgantown,http://morgantown.craigslist.org/rid/3350372753.html,"i'll be visiting from the west and would like to ride with someone from morgantown to nyc on either december 22nd or 23rd. 
i will, of course, be happy to help with monetary compensation. :) please contact me if that would work for you! thanks!",2012-11-15T17:05:16-05:00,emailnotfound
last minute ride offered steubenville/morgantown to dc thursday 11/15  (one person with light luggage),morgantown,http://morgantown.craigslist.org/rid/3409577472.html,call 202-361-9060 if need a thursday 11/15 tomorrow am ride to dc area room for one person only! please no smokers and be willing to help with gas,2012-11-14T14:00:57-05:00,emailnotfound
ride needed from morgantown-lewisburg nov. 24 (morgantown),morgantown,http://morgantown.craigslist.org/rid/3405841985.html,"hi there- i am a rock climber in need of a ride from morgantown to lewisburg on the 24th of november...or anytime soon after that. 
any help is appreciated! ",2012-11-12T22:09:53-05:00,emailnotfound
ride offered (d.c),morgantown,http://morgantown.craigslist.org/rid/3404408773.html,leaving friday morning the 16th of nov and returning that sunday to morgantown ,2012-11-12T12:21:55-05:00,emailnotfound
"thanksgiving carpool (tn, wv, pa, md)",morgantown,http://morgantown.craigslist.org/rid/3400528203.html,"hey, i'm a student in nashville looking to rideshare with anyone to and from morgantown, wv. if you live close to these areas and would be interested in carpooling please shoot be an email. i'm planning on traveling nashville to wv on the 21st and ba [...]",2012-11-10T15:04:12-05:00,emailnotfound
ride to pittsburgh on thursday 7pm,morgantown,http://morgantown.craigslist.org/rid/3399364074.html,i need a ride to the pittsburgh greyhound station on thursday (11/15) 7pm. you can pick me at the mountainlair. i'm willing to share the cost of gas. thank you,2012-11-10T02:06:57-05:00,emailnotfound
share ride mannington to clarksburg (mannington to clarksburg),morgantown,http://morgantown.craigslist.org/rid/3396037386.html,i live in mannington and work in clarksburg. i have several different routes i can travel and would like someone to share rides with to save cost. i work 8 to 4:30. if interested please email me.,2012-11-08T16:13:27-05:00,emailnotfound
i 79 south to florida (all the way to florida),morgantown,http://morgantown.craigslist.org/rid/3394489392.html,"looking for female rider companion to florida...'' 
leaving tomorow and heading south sick of the weather email with details and request...no guys not chancing it but female looking for a ride is fine, other than that ill haul your stuff south for a  [...]",2012-11-07T23:22:19-05:00,emailnotfound
need ride from glenmark center to fairmont ,morgantown,http://morgantown.craigslist.org/rid/3378270703.html,i've got a job up at glenmark center but don't have transportation back home to fairmont. i'm looking for anyone that lives in fairmont also and would be driving home around 8pm to 9pm. i would be able to provide adequate gas money to help out.,2012-10-31T20:39:53-04:00,emailnotfound
ride needed - morgantown to philadelphia on fri 11/16 (morgantown),morgantown,http://morgantown.craigslist.org/rid/3365785316.html,"i'm looking for a ride from morgantown to philadelphia. 
leaving november 16th returning november 25th. contact me on zimride: http://www.zimride.com/ride/share?ride=505133 ",2012-10-26T06:12:44-04:00,emailnotfound
need a ride to utc walmart & krogers (morgantown wv),morgantown,http://morgantown.craigslist.org/rid/3364414831.html,"needing a ride asap today to walmart & to krogers, will help pay for gas to get there and back.. needing to go badly but no car any help would be appreciated thank you...",2012-10-25T14:27:02-04:00,emailnotfound
ride offered - morgantown to philadelphia on fri 11/16 (morgantown),morgantown,http://morgantown.craigslist.org/rid/3352353539.html,"i'm offering a ride from morgantown to philadelphia. 
leaving november 16th returning november 25th. contact me on zimride: http://www.zimride.com/ride/share?ride=501175 ",2012-10-20T11:58:00-04:00,emailnotfound
ride needed - morgantown to pittsburgh on thu 11/22 (morgantown),morgantown,http://morgantown.craigslist.org/rid/3348550105.html,"i'm looking for a ride from morgantown to pittsburgh. 
leaving november 22nd returning november 26th. contact me on zimride: http://www.zimride.com/ride/share?ride=499914 ",2012-10-18T17:32:04-04:00,emailnotfound
ride needed - morgantown to hagerstown on thu 10/18 (morgantown),morgantown,http://morgantown.craigslist.org/rid/3345836542.html,"i'm looking for a ride from morgantown to hagerstown. 
leaving october 18th returning october 21st. contact me on zimride: http://www.zimride.com/ride/share?ride=498438 ",2012-10-17T15:27:38-04:00,emailnotfound
"need a ride south for christmas? (morgantown to fairhope, al)",morgantown,http://morgantown.craigslist.org/rid/3327239509.html,we are renting a car to get home for christmas. leaving around the 19th of dec. and need to be back by jan. 2nd (dates are not yet fixed but should be close to those). picking up car in pittsburgh so we could do a pickup anymore between pitsburgh and [...],2012-10-09T13:36:55-04:00,emailnotfound
ride needed - morgantown to phoenix on mon 10/15 (morgantown),morgantown,http://morgantown.craigslist.org/rid/3325361048.html,"i'm looking for a ride from morgantown to phoenix. 
leaving october 15th. i need to get back out west after the 13th of october. i don't have much money to contribute, but i can drive pretty much anything and am able to drive long distances. there's  [...]",2012-10-08T16:47:05-04:00,emailnotfound
